Trienio,Semestre,Curso,Min,Max,Media,N
2020-2022,2º,LINGUA INGLESA E RESPECTIVA LITERATURA (BACHARELADO/LICENCIATURA),4.875,10.647,7.306,4
2020-2022,2º,LINGUA PORTUGUESA E RESPECTIVA LITERATURA (BACHARELADO/LICENCIATURA),-77.605,24.323,-17.368,24
2020-2022,2º,MATEMATICA (BACHARELADO/LICENCIATURA),-76.155,5.545,-27.915,10
2020-2022,2º,MEDICINA (BACHARELADO),165.968,178.729,171.932,9
2020-2022,2º,MEDICINA VETERINARIA (BACHARELADO),40.547,59.182,48.663,11
2020-2022,2º,NUTRICAO (BACHARELADO),16.266,40.98,25.503,21
2020-2022,2º,ODONTOLOGIA (BACHARELADO),55.399,69.779,61.037,7
2020-2022,2º,PEDAGOGIA (LICENCIATURA),-97.867,-19.323,-51.721,44
2020-2022,2º,PSICOLOGIA (BACHARELADO / LICENCIATURA / PSICOLOGO),74.239,97.599,85.598,13
2020-2022,2º,QUIMICA (BACHARELADO),-63.045,2.456,-22.067,6
2020-2022,2º,RELACOES INTERNACIONAIS (BACHARELADO),70.989,87.978,79.446,11
2020-2022,2º,SERVICO SOCIAL (BACHARELADO),-91.504,-52.562,-64.037,8
2020-2022,2º,TERAPIA OCUPACIONAL (BACHARELADO),-81.042,-49.823,-61.596,12
2019-2021,1º,(BACHARELADOS)**,26.128,175.146,62.315,113
2019-2021,1º,ADMINISTRACAO (BACHARELADO),-18.153,120.306,31.797,34
2019-2021,1º,AGRONOMIA (BACHARELADO),-33.617,49.697,-1.434,31
2019-2021,1º,ARQUITETURA E URBANISMO (BACHARELADO),18.235,137.056,68.898,25
2019-2021,1º,ARQUIVOLOGIA (BACHARELADO),-70.173,-5.298,-29.839,7
2019-2021,1º,ARTES CENICAS  INTERPRETACAO TEATRAL (BACHARELADO)*,22.845,22.845,22.845,1
2019-2021,1º,ARTES VISUAIS (BACHARELADO)*,-68.761,10.926,-15.798,5
2019-2021,1º,BIBLIOTECONOMIA (BACHARELADO),-80.935,60.65,-21.481,11
2019-2021,1º,BIOTECNOLOGIA (BACHARELADO),71.758,154.249,93.375,18
2019-2021,1º,CIENCIA DA COMPUTACAO (BACHARELADO),91.104,192.188,122.248,16
2019-2021,1º,CIENCIA POLITICA (BACHARELADO),39.954,128.476,58.485,17
2019-2021,1º,CIENCIAS AMBIENTAIS (BACHARELADO),-63.616,118.331,-13.805,7
2019-2021,1º,CIENCIAS BIOLOGICAS (BACHARELADO),46.285,143.742,81.635,12
2019-2021,1º,CIENCIAS CONTABEIS (BACHARELADO),-77.193,64.385,0.055,45
2019-2021,1º,CIENCIAS ECONOMICAS (BACHARELADO),70.694,175.077,101.586,22
2019-2021,1º,CIENCIAS NATURAIS (LICENCIATURA),-76.854,-20.469,-53.997,9
2019-2021,1º,CIENCIAS SOCIAIS  ANTROPOLOGIA / SOCIOLOGIA (BACHARELADO/LICENCIATURA),-15.478,94.463,26.154,30
2019-2021,1º,COMPUTACAO (LICENCIATURA),-61.279,34.167,-16.795,25
2019-2021,1º,COMUNICACAO ORGANIZACIONAL (BACHARELADO),-47.249,62.26,-2.848,20
2019-2021,1º,COMUNICACAO SOCIAL  AUDIOVISUAL (BACHARELADO),52.904,116.156,69.906,6
2019-2021,1º,COMUNICACAO SOCIAL  PUBLICIDADE E PROPAGANDA (BACHARELADO),77.921,129.694,95.275,4
2019-2021,1º,DESIGN  PROGRAMACAO VISUAL/PROJETO DO PRODUTO (BACHARELADO),78.53,98.283,88.703,5
2019-2021,1º,DIREITO (BACHARELADO),74.255,155.752,108.034,32
2019-2021,1º,EDUCACAO FISICA (BACHARELADO),6.549,45.082,20.412,14
2019-2021,1º,EDUCACAO FISICA (LICENCIATURA),-24.415,46.723,-7.349,15
2019-2021,1º,ENFERMAGEM (BACHARELADO),22.267,104.45,49.64,28
2019-2021,1º,ENGENHARIA AMBIENTAL (BACHARELADO),-23.316,94.16,35.564,11
2019-2021,1º,ENGENHARIA CIVIL (BACHARELADO),44.107,155.602,91.615,18
2019-2021,1º,ENGENHARIA DE COMPUTACAO (BACHARELADO),114.818,163.169,132.306,18
2019-2021,1º,ENGENHARIA DE PRODUCAO (BACHARELADO),-2.961,131.038,48.062,26
2019-2021,1º,ENGENHARIA DE REDES DE COMUNICACAO (BACHARELADO),-20.448,71.841,14.069,17
2019-2021,1º,ENGENHARIA ELETRICA (BACHARELADO),34.986,189.172,92.129,28
2019-2021,1º,ENGENHARIA FLORESTAL (BACHARELADO),-71.066,30.842,-14.315,12
2019-2021,1º,ENGENHARIA MECANICA (BACHARELADO),33.034,128.922,78.415,18
2019-2021,1º,ENGENHARIA MECATRONICA  CONTROLE E AUTOMACAO (BACHARELADO),51.177,193.348,105.843,28
2019-2021,1º,ENGENHARIA QUIMICA (BACHARELADO),31.477,168.79,74.877,23
2019-2021,1º,ESTATISTICA (BACHARELADO),-27.848,121.268,39.862,25
2019-2021,1º,FARMACIA (BACHARELADO),-1.66,114.584,38.986,36
2019-2021,1º,FILOSOFIA (BACHARELADO/LICENCIATURA),-69.896,33.582,-21.334,13
2019-2021,1º,FILOSOFIA (LICENCIATURA),-52.983,-14.057,-35.553,3
2019-2021,1º,FISICA (BACHARELADO),24.711,138.765,77.499,19
2019-2021,1º,FISIOTERAPIA (BACHARELADO),19.214,121.109,53.567,17
2019-2021,1º,FONOAUDIOLOGIA (BACHARELADO),-17.182,11.358,-3.741,7
2019-2021,1º,GEOFISICA (BACHARELADO),-48.237,8.279,-19.831,4
2019-2021,1º,GEOGRAFIA (BACHARELADO/LICENCIATURA),-56.719,44.499,-13.653,18
2019-2021,1º,GEOLOGIA (BACHARELADO),-68.729,68.345,13.995,10
2019-2021,1º,GESTAO DE AGRONEGOCIO (BACHARELADO),-61.028,11.189,-33.76,7
2019-2021,1º,GESTAO DE POLITICAS PUBLICAS (BACHARELADO),-88.856,51.644,-33.695,17
2019-2021,1º,HISTORIA (BACHARELADO/LICENCIATURA),31.443,105.499,58.601,14
2019-2021,1º,HISTORIA (LICENCIATURA),-44.375,24.313,-19.598,9
2019-2021,1º,JORNALISMO (BACHARELADO),79.756,117.234,96.133,4
2019-2021,1º,LETRAS  PORTUGUES DO BRASIL COMO SEGUNDA LINGUA (LICENCIATURA),-59.81,45.035,-4.199,11
2019-2021,1º,LETRAS  TRADUCAO  FRANCES (BACHARELADO),-28.614,14.02,-7.297,2
2019-2021,1º,LETRAS  TRADUCAO  INGLES (BACHARELADO),14.876,72.134,30.492,4
2019-2021,1º,LETRAS  TRADUCAO ESPANHOL (BACHARELADO),-59.585,-33.753,-46.669,2
2019-2021,1º,LICENCIATURA EM CIENCIAS BIOLOGICAS,-6.634,116.233,22.541,13
2019-2021,1º,LICENCIATURA EM FISICA,-68.138,94.263,22.158,4
2019-2021,1º,LICENCIATURA EM MATEMATICA,-49.204,9.671,-19.356,6
2019-2021,1º,LICENCIATURA EM QUIMICA,-32.77,-32.77,-32.77,1
2019-2021,1º,LINGUA E LITERATURA JAPONESA (LICENCIATURA),-62.925,18.808,-28.978,5
2019-2021,1º,LINGUA ESPANHOLA E LITERATURA ESPANHOLA E HISPANO-AMERICANA (LICENCIATURA),-98.76,13.701,-38.876,5
2019-2021,1º,LINGUA ESTRANGEIRA APLICADA  MULTILINGUISMO E SOCIEDADE DA INFORMACAO (BACHARELADO),-59.797,50.274,0.933,10
2019-2021,1º,LINGUA FRANCESA E RESPECTIVA LITERATURA (BACHARELADO/LICENCIATURA),-44.511,28.361,-14.339,4
2019-2021,1º,LINGUA INGLESA E RESPECTIVA LITERATURA (BACHARELADO/LICENCIATURA),21.884,50.645,36.564,6
2019-2021,1º,LINGUA PORTUGUESA E RESPECTIVA LITERATURA (BACHARELADO/LICENCIATURA),9.343,52.962,31.069,10
2019-2021,1º,LINGUA PORTUGUESA E RESPECTIVA LITERATURA (LICENCIATURA),-70.531,78.089,-18.923,7
2019-2021,1º,MATEMATICA (BACHARELADO/LICENCIATURA),11.514,91.155,33.786,12
2019-2021,1º,MEDICINA (BACHARELADO),163.498,206.948,178.248,15
2019-2021,1º,MEDICINA VETERINARIA (BACHARELADO),61.72,179.56,95.45,17
2019-2021,1º,MUSEOLOGIA (BACHARELADO),-69.548,21.708,-17.668,7
2019-2021,1º,MUSICA (LICENCIATURA)*,-52.883,59.144,1.939,5
2019-2021,1º,NUTRICAO (BACHARELADO),44.802,93.954,64.967,13
2019-2021,1º,ODONTOLOGIA (BACHARELADO),81.322,129.578,93.163,8
2019-2021,1º,PEDAGOGIA (LICENCIATURA),-67.452,44.375,-22.942,32
2019-2021,1º,PSICOLOGIA (BACHARELADO / LICENCIATURA / PSICOLOGO),99.039,137.756,115.36,16
2019-2021,1º,QUIMICA (BACHARELADO),6.54,89.253,34.299,12
2019-2021,1º,QUIMICA TECNOLOGICA (BACHARELADO),-21.218,65.907,14.426,5
2019-2021,1º,RELACOES INTERNACIONAIS (BACHARELADO),91.105,152.744,109.968,15
2019-2021,1º,SAUDE COLETIVA (BACHARELADO),-67.997,-30.724,-52.275,9
2019-2021,1º,SERVICO SOCIAL (BACHARELADO),-76.148,58.117,-5.959,28
2019-2021,1º,TERAPIA OCUPACIONAL (BACHARELADO),-25.732,19.322,-6.615,12
2019-2021,1º,TURISMO (BACHARELADO),-89.917,12.676,-48.933,12
2019-2021,2º,(BACHARELADOS)**,-92.457,25.875,-20.662,185
2019-2021,2º,ADMINISTRACAO (BACHARELADO),-88.52,29.64,-28.217,58
2019-2021,2º,AGRONOMIA (BACHARELADO),-90.111,-33.883,-53.952,25
2019-2021,2º,ARQUITETURA E URBANISMO (BACHARELADO),-15.67,59.272,28.286,33
2019-2021,2º,ARTES VISUAIS (LICENCIATURA)*,-64.241,20.443,-20.26,3
2019-2021,2º,BIOTECNOLOGIA (BACHARELADO),2.559,67.379,35.979,24
2019-2021,2º,CANDIDATOS SELECIONADOS DENTRO DO QUANTITATIVO DE VAGAS PARA O SEGUNDO SEMESTRE,-73.797,82.925,-21.432,11
2019-2021,2º,CIENCIA DA COMPUTACAO (BACHARELADO),75.568,89.283,82.211,10
2019-2021,2º,CIENCIA POLITICA (BACHARELADO),-32.474,39.561,4.153,33
2019-2021,2º,CIENCIAS BIOLOGICAS (BACHARELADO),17.651,46.066,29.302,16
2019-2021,2º,CIENCIAS CONTABEIS (BACHARELADO),-89.295,-18.772,-61.382,18
2019-2021,2º,CIENCIAS ECONOMICAS (BACHARELADO),43.577,70.119,56.165,20
2019-2021,2º,CIENCIAS SOCIAIS  ANTROPOLOGIA / SOCIOLOGIA (BACHARELADO/LICENCIATURA),-57.74,-16.11,-33.871,13
2019-2021,2º,COMPUTACAO (LICENCIATURA),-89.048,-61.453,-70.79,4
2019-2021,2º,COMUNICACAO SOCIAL  AUDIOVISUAL (BACHARELADO),29.695,49.171,38.033,12
2019-2021,2º,COMUNICACAO SOCIAL - PUBLICIDADE E PROPAGANDA (BACHARELADO),58.085,75.121,66.014,6
2019-2021,2º,DESIGN  PROGRAMACAO VISUAL/PROJETO DO PRODUTO (BACHARELADO),66.092,70.4,68.252,5
2019-2021,2º,DIREITO (BACHARELADO),53.252,107.108,84.219,35
2019-2021,2º,EDUCACAO FISICA (BACHARELADO),-14.414,5.652,-3.275,14
2019-2021,2º,EDUCACAO FISICA (LICENCIATURA),-56.636,-24.772,-39.827,15
2019-2021,2º,ENFERMAGEM (BACHARELADO),3.224,36.48,16.943,25
2019-2021,2º,ENGENHARIA AMBIENTAL (BACHARELADO),-57.691,-25.512,-35.957,6
2019-2021,2º,ENGENHARIA CIVIL (BACHARELADO),-20.311,34.736,10.291,26
2019-2021,2º,ENGENHARIA DE COMPUTACAO (BACHARELADO),84.463,113.034,96.499,16
2019-2021,2º,ENGENHARIA DE PRODUCAO (BACHARELADO),-55.187,-27.815,-42.356,3
2019-2021,2º,ENGENHARIA DE REDES DE COMUNICACAO (BACHARELADO),-63.427,-23.349,-41.235,8
2019-2021,2º,ENGENHARIA ELETRICA (BACHARELADO),-61.149,26.072,-6.688,18
2019-2021,2º,ENGENHARIA MECANICA (BACHARELADO),-63.304,25.964,-12.98,13
2019-2021,2º,ENGENHARIA MECATRONICA  CONTROLE E AUTOMACAO (BACHARELADO),-67.181,49.009,0.197,28
2019-2021,2º,ENGENHARIA QUIMICA (BACHARELADO),-73.743,31.386,-10.817,10
2019-2021,2º,ESTATISTICA (BACHARELADO),-61.15,-46.255,-53.702,2
2019-2021,2º,FARMACIA (BACHARELADO),-93.049,12.005,-35.096,54
2019-2021,2º,FISICA (BACHARELADO),-43.983,-0.867,-21.764,3
2019-2021,2º,FISIOTERAPIA (BACHARELADO),-0.2,18.337,6.389,14
2019-2021,2º,FONOAUDIOLOGIA (BACHARELADO),-65.723,-30.463,-50.932,15
2019-2021,2º,HISTORIA (BACHARELADO/LICENCIATURA),9.633,28.453,18.886,13
2019-2021,2º,HISTORIA (LICENCIATURA),-75.652,-46.01,-60.507,7
2019-2021,2º,JORNALISMO (BACHARELADO),74.586,79.048,77.698,4
2019-2021,2º,LETRAS  TRADUCAO  INGLES (BACHARELADO),-48.189,11.813,-18.169,13
2019-2021,2º,LICENCIATURA EM CIENCIAS BIOLOGICAS,-47.004,-25.296,-35.913,7
2019-2021,2º,LINGUA INGLESA E RESPECTIVA LITERATURA (BACHARELADO/LICENCIATURA),3.128,18.335,10.732,2
2019-2021,2º,LINGUA INGLESA E RESPECTIVA LITERATURA (BACHARELADO/LICENCIATURA)  SUB JUDICE,0.73,0.73,0.73,1
2019-2021,2º,LINGUA PORTUGUESA E RESPECTIVA LITERATURA (BACHARELADO/LICENCIATURA),-69.204,9.177,-25.944,21
2019-2021,2º,MATEMATICA (BACHARELADO/LICENCIATURA),-80.631,9.928,-25.074,13
2019-2021,2º,MEDICINA (BACHARELADO),152.225,163.375,157.561,12
2019-2021,2º,MEDICINA VETERINARIA (BACHARELADO),48.35,61.107,52.941,12
2019-2021,2º,NUTRICAO (BACHARELADO),26.028,41.786,33.292,7
2019-2021,2º,ODONTOLOGIA (BACHARELADO),63.752,79.572,66.881,7
2019-2021,2º,PEDAGOGIA (LICENCIATURA),-52.657,-23.176,-38.854,20
2019-2021,2º,PSICOLOGIA (BACHARELADO / LICENCIATURA / PSICOLOGO),76.485,97.329,84.298,15
2019-2021,2º,QUIMICA (BACHARELADO),-84.83,-6.177,-31.328,8
2019-2021,2º,RELACOES INTERNACIONAIS (BACHARELADO),73.353,89.935,81.405,14
2019-2021,2º,SERVICO SOCIAL (BACHARELADO),-90.673,-41.567,-54.161,6
2019-2021,2º,TERAPIA OCUPACIONAL (BACHARELADO),-88.997,-34.693,-59.209,13
